SensorId, TimeStamp (s), FrameNumber, QuatW, QuatX, QuatY, QuatZ
1,-0.0,0,-0.0181,-0.73859996,0.0179,-0.67359996
1,0.01,1,-0.0182,-0.73869997,0.0179,-0.6735
1,0.02,2,-0.018,-0.73890001,0.0181,-0.67329997
1,0.03,3,-0.018,-0.73899996,0.0182,-0.67309999
1,0.04,4,-0.0183,-0.73899996,0.018,-0.67309999
1,0.05,5,-0.0185,-0.7392,0.0178,-0.67289996
1,0.06,6,-0.0184,-0.73949999,0.018,-0.67259997
1,0.07,7,-0.0183,-0.73969996,0.0181,-0.6724
1,0.08,8,-0.0185,-0.73989999,0.018,-0.67219996
1,0.09,9,-0.0186,-0.74009997,0.0179,-0.67179996
1,0.1,10,-0.0184,-0.74039996,0.0181,-0.67159998
1,0.11,11,-0.0183,-0.74049997,0.0182,-0.67149997
1,0.12,12,-0.0183,-0.74059999,0.0182,-0.67129999
1,0.13,13,-0.0183,-0.74089998,0.0182,-0.671
1,0.14,14,-0.0182,-0.74119997,0.0183,-0.67069995
1,0.15,15,-0.0182,-0.7414,0.0183,-0.67049998
1,0.16,16,-0.0182,-0.74159998,0.0183,-0.67030001
1,0.17,17,-0.0181,-0.74180001,0.0183,-0.66999996
1,0.18,18,-0.0181,-0.74199998,0.0184,-0.66979998
1,0.19,19,-0.018,-0.7421,0.0185,-0.66969997
1,0.2,20,-0.018,-0.74229997,0.0185,-0.66939998
1,0.21,21,-0.018,-0.74259996,0.0185,-0.66909999
1,0.22,22,-0.018,-0.7428,0.0185,-0.66889995
1,0.23,23,-0.0182,-0.74289995,0.0184,-0.6688
1,0.24,24,-0.0184,-0.74289995,0.0182,-0.66869998
1,0.25,25,-0.0184,-0.74299997,0.0181,-0.66869998
1,0.26,26,-0.0183,-0.74299997,0.0182,-0.66859996
1,0.27,27,-0.0183,-0.74299997,0.0182,-0.66859996
1,0.28,28,-0.0185,-0.74299997,0.018,-0.66869998
1,0.29,29,-0.0187,-0.7428,0.0178,-0.66889995
1,0.3,30,-0.0186,-0.74269998,0.0179,-0.66899997
1,0.31,31,-0.0185,-0.74269998,0.018,-0.66909999
1,0.32,32,-0.0188,-0.74250001,0.0176,-0.66929996
1,0.33,33,-0.0191,-0.74229997,0.0172,-0.66939998
1,0.34,34,-0.0191,-0.74229997,0.0172,-0.66939998
1,0.35,35,-0.0189,-0.74229997,0.0173,-0.66949999
1,0.36,36,-0.0191,-0.7421,0.0172,-0.66969997
1,0.37,37,-0.0194,-0.74199998,0.0169,-0.6699
1,0.38,38,-0.0194,-0.74199998,0.0168,-0.66979998
1,0.39,39,-0.0193,-0.74189997,0.0168,-0.6699
1,0.4,40,-0.0194,-0.74169999,0.0168,-0.67009997
1,0.41,41,-0.0196,-0.74149996,0.0165,-0.67030001
